"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
942,18523855.0418888,4434488.88403008,1973,FALSE,1,"20286","POL;SVK","Bukovec Mountains","POL",TRUE,"20286","",0.239393413196237
942,18523855.0418888,13241107.7935833,1992,FALSE,1,"20286","POL;SVK","Bukovec Mountains","POL",TRUE,"20286","",0.714813831334818
942,18523855.0418888,802643.581709077,1997,FALSE,1,"20286","POL;SVK","Bukovec Mountains","POL",TRUE,"20286","",0.0433302668312846
3113,370608155.667521,16495.3524047295,1973,FALSE,1,"20286","POL;SVK","Bukovec Mountains","SVK",TRUE,"20286","",4.45088758908148e-05
3113,370608155.667521,150977.156884857,1992,FALSE,1,"20286","POL;SVK","Bukovec Mountains","SVK",TRUE,"20286","",0.000407376779426035
3113,370608155.667521,356741153.655837,1997,FALSE,2,"20286","POL;SVK","Bukovec Mountains","SVK",TRUE,"20286","",0.96258311696701
3113,370608155.667521,85818.730593849,2001,FALSE,1,"20286","POL;SVK","Bukovec Mountains","SVK",TRUE,"20286","",0.000231561905159039
3113,370608155.667521,1328192.2039912,2004,FALSE,25,"20286","POL;SVK","Bukovec Mountains","SVK",TRUE,"20286","",0.00358381806681758
3113,370608155.667521,0.0414740798869411,2005,FALSE,1,"20286","POL;SVK","Bukovec Mountains","SVK",TRUE,"20286","",1.11908168378648e-10
3113,370608155.667521,1717.72919212761,2007,FALSE,1,"20286","POL;SVK","Bukovec Mountains","SVK",TRUE,"20286","",4.63489312326038e-06
3113,370608155.667521,12161.9730572701,2008,FALSE,1,"20286","POL;SVK","Bukovec Mountains","SVK",TRUE,"20286","",3.28162585503941e-05
3113,370608155.667521,0.0302840187027249,2016,FALSE,1,"20286","POL;SVK","Bukovec Mountains","SVK",TRUE,"20286","",8.17143882011417e-11
24034,13120781.902775,17311.1252415664,1992,FALSE,1,"20286","POL;SVK","Bukovec Mountains","SVK",TRUE,"20286","",0.00131936689214423
24034,13120781.902775,942352.894556961,1997,FALSE,1,"20286","POL;SVK","Bukovec Mountains","SVK",TRUE,"20286","",0.0718213976529597
24034,13120781.902775,2672720.22194102,2001,FALSE,1,"20286","POL;SVK","Bukovec Mountains","SVK",TRUE,"20286","",0.203701291717665
24034,13120781.902775,9359997.22697863,2004,FALSE,5,"20286","POL;SVK","Bukovec Mountains","SVK",TRUE,"20286","",0.713371908498763
