"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
3099,14551184.8251461,28664.2909138575,1974,TRUE,1,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",0.00196989394735214
3099,14551184.8251461,12281526.4277729,1997,TRUE,2,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",0.844022433592423
3099,14551184.8251461,20010.214273,2004,TRUE,2,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",0.00137516047754545
3099,14551184.8251461,628214.698523528,2010,TRUE,2,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",0.0431727523272128
3099,14551184.8251461,48619.5879737197,2011,TRUE,1,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",0.00334128035331526
3099,14551184.8251461,1813.81728322101,2016,TRUE,3,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",0.000124650831187748
3108,5837669.04333326,3970902.87794521,2004,FALSE,1,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",0.680220623757365
3108,5837669.04333326,1776634.50612657,2011,FALSE,1,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",0.30433971041156
24039,204262095.261981,5125528.24279815,1995,FALSE,1,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",0.0250928995721124
24039,204262095.261981,21842.2597599101,1997,FALSE,1,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",0.000106932515951605
24039,204262095.261981,313.138138350012,2001,FALSE,1,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",1.5330212781201e-06
24039,204262095.261981,341101.666573197,2004,FALSE,6,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",0.0016699215100859
24039,204262095.261981,193941993.925321,2011,FALSE,1,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",0.949476179986188
24039,204262095.261981,NA,2013,FALSE,3,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",NA
24039,204262095.261981,2852605.31939888,2016,FALSE,4,"20296","SVK","Slovensky raj","SVK",TRUE,"20296","",0.0139654169107597
