"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
15050,553672384.446479,296795274.01896,1949,FALSE,1,"20813","JPN","Hida Mountains","JPN",FALSE,"20813","",0.536048541260866
15050,553672384.446479,60620773.6432173,1959,FALSE,2,"20813","JPN","Hida Mountains","JPN",FALSE,"20813","",0.109488526692227
15050,553672384.446479,99643.2270627618,1964,FALSE,1,"20813","JPN","Hida Mountains","JPN",FALSE,"20813","",0.000179967847163585
15050,553672384.446479,4296676.40853876,1974,FALSE,1,"20813","JPN","Hida Mountains","JPN",FALSE,"20813","",0.00776032276349534
15050,553672384.446479,6006746.09071136,1977,FALSE,1,"20813","JPN","Hida Mountains","JPN",FALSE,"20813","",0.0108489176261093
15050,553672384.446479,100051.080546726,1983,FALSE,1,"20813","JPN","Hida Mountains","JPN",FALSE,"20813","",0.000180704480406313
15050,553672384.446479,813118.396272116,1984,FALSE,1,"20813","JPN","Hida Mountains","JPN",FALSE,"20813","",0.00146859120865313
15050,553672384.446479,24928760.5729986,1997,FALSE,1,"20813","JPN","Hida Mountains","JPN",FALSE,"20813","",0.0450243885613341
15050,553672384.446479,12743416.2861832,2001,FALSE,1,"20813","JPN","Hida Mountains","JPN",FALSE,"20813","",0.0230161674018167
15050,553672384.446479,5291196.05029,2004,FALSE,2,"20813","JPN","Hida Mountains","JPN",FALSE,"20813","",0.00955654679360566
15050,553672384.446479,2277.90598857403,2010,FALSE,1,"20813","JPN","Hida Mountains","JPN",FALSE,"20813","",4.11417663687762e-06
15056,2718872787.16643,1558307176.82912,1934,FALSE,1,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",0.57314457086209
15056,2718872787.16643,423929.707271576,1950,FALSE,1,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",0.000155921126311095
15056,2718872787.16643,14479831.1845598,1959,FALSE,1,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",0.00532567439451643
15056,2718872787.16643,65194388.3169063,1965,FALSE,2,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",0.0239784621864751
15056,2718872787.16643,22735014.5004882,1967,FALSE,1,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",0.00836192653359934
15056,2718872787.16643,18818710.5546339,1969,FALSE,1,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",0.00692151197491167
15056,2718872787.16643,122337892.096267,1973,FALSE,2,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",0.0449958132185236
15056,2718872787.16643,9864307.45571399,1976,FALSE,2,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",0.00362808716254593
15056,2718872787.16643,1708042.88532752,1980,FALSE,1,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",0.0006282172867336
15056,2718872787.16643,13130.5381972492,1981,FALSE,1,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",4.82940513407898e-06
15056,2718872787.16643,52341799.5309819,1984,FALSE,2,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",0.0192512867016231
15056,2718872787.16643,15504.7393636107,1988,FALSE,1,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",5.70263509083467e-06
15056,2718872787.16643,1597979.89187813,1989,FALSE,1,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",0.000587736174866615
15056,2718872787.16643,16678025.0787792,1990,FALSE,1,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",0.00613416896792763
15056,2718872787.16643,13988895.2642485,1992,FALSE,1,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",0.00514510841782618
15056,2718872787.16643,16121351.9466204,1994,FALSE,1,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",0.00592942487883805
15056,2718872787.16643,92528.3466488197,1998,FALSE,1,"20813","JPN","Hida Mountains","JPN",TRUE,"20813","",3.40318778743788e-05
