"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
3208,8333684.47718203,5604413.90046337,1999,FALSE,1,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",FALSE,"20878","",0.672501330690943
3208,8333684.47718203,1275113.09053986,2006,FALSE,2,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",FALSE,"20878","",0.153007123563554
3208,8333684.47718203,23150.3359170109,2012,FALSE,1,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",FALSE,"20878","",0.00277792325596169
3240,428021625.599548,69808727.0626689,1979,FALSE,1,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",TRUE,"20878","",0.163096261701462
3240,428021625.599548,124087.872042823,1980,FALSE,1,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",TRUE,"20878","",0.000289910286352956
3240,428021625.599548,104244337.345956,1981,FALSE,2,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",TRUE,"20878","",0.24354923001831
3240,428021625.599548,NA,1982,FALSE,1,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",TRUE,"20878","",NA
3240,428021625.599548,NA,1983,FALSE,1,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",TRUE,"20878","",NA
3240,428021625.599548,100425.083475935,1996,FALSE,1,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",TRUE,"20878","",0.00023462619052312
3240,428021625.599548,23449.4803455137,1997,FALSE,4,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",TRUE,"20878","",5.47857373156484e-05
3240,428021625.599548,143458962.817352,1998,FALSE,1,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",TRUE,"20878","",0.335167557518626
3240,428021625.599548,NA,2000,FALSE,1,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",TRUE,"20878","",NA
3240,428021625.599548,NA,2005,FALSE,2,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",TRUE,"20878","",NA
3240,428021625.599548,87377.3895528764,2006,FALSE,5,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",TRUE,"20878","",0.00020414246460207
3240,428021625.599548,NA,2016,FALSE,1,"20878","AUT","Eastern Styrian Prealps (nn)","AUT",TRUE,"20878","",NA
