"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
1057,156370419.708832,80290181.6371984,2002,FALSE,1,"20895","GRC","Peloponnese (nn)","GRC",TRUE,"20895","",0.513461444860876
1057,156370419.708832,NA,2006,FALSE,1,"20895","GRC","Peloponnese (nn)","GRC",TRUE,"20895","",NA
1057,156370419.708832,139974.834118672,2010,FALSE,1,"20895","GRC","Peloponnese (nn)","GRC",TRUE,"20895","",0.000895149059389305
1059,13028788.1849676,12509346.5997701,2002,FALSE,1,"20895","GRC","Peloponnese (nn)","GRC",TRUE,"20895","",0.960131243380192
1059,13028788.1849676,209035.737535849,2003,FALSE,1,"20895","GRC","Peloponnese (nn)","GRC",TRUE,"20895","",0.016044142752818
1059,13028788.1849676,0.00788657333221774,2006,FALSE,1,"20895","GRC","Peloponnese (nn)","GRC",TRUE,"20895","",6.05319022786566e-10
1120,2586042.60096091,697110.708573163,2006,FALSE,1,"20895","GRC","Peloponnese (nn)","GRC",TRUE,"20895","",0.26956659890836
1120,2586042.60096091,1341907.13360493,2010,FALSE,1,"20895","GRC","Peloponnese (nn)","GRC",TRUE,"20895","",0.518903723050157
1121,24531350.4983236,17988220.9392425,2006,FALSE,1,"20895","GRC","Peloponnese (nn)","GRC",TRUE,"20895","",0.733274792208108
1121,24531350.4983236,6451246.34298199,2009,FALSE,3,"20895","GRC","Peloponnese (nn)","GRC",TRUE,"20895","",0.262979665282711
1122,4020972.93018959,3810133.29351553,2010,FALSE,1,"20895","GRC","Peloponnese (nn)","GRC",TRUE,"20895","",0.947565019627199
