"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
29733,424794324.639778,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","YEM",NA,NA,"no pas overlapping kba",0
29740,246227296.326759,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","YEM",NA,NA,"no pas overlapping kba",0
8275,364814624.136688,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","SAU",NA,NA,"no pas overlapping kba",0
8276,527033350.857898,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","SAU",NA,NA,"no pas overlapping kba",0
8279,45616172.0904455,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","SAU",NA,NA,"no pas overlapping kba",0
8280,154400229.98489,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","SAU",NA,NA,"no pas overlapping kba",0
8282,26803458.0868476,26429623.6866089,1981,FALSE,1,"20910","YEM;SAU","Asir Mountains (nn)","SAU",FALSE,"20910","",0.986052754871131
29726,332437369.925076,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","SAU",NA,NA,"no pas overlapping kba",0
29727,290303261.809166,59734011.8568354,1981,FALSE,1,"20910","YEM;SAU","Asir Mountains (nn)","SAU",FALSE,"20910","",0.205764177379798
29727,290303261.809166,0.000905796885490417,1989,FALSE,1,"20910","YEM;SAU","Asir Mountains (nn)","SAU",FALSE,"20910","",3.1201746747367e-12
29729,448536622.239087,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","SAU",NA,NA,"no pas overlapping kba",0
29904,688547954.143148,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","SAU",NA,NA,"no pas overlapping kba",0
29905,7608346.26779512,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","SAU",NA,NA,"no pas overlapping kba",0
29907,1143154.31154764,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","SAU",NA,NA,"no pas overlapping kba",0
29908,599655.222639382,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","SAU",NA,NA,"no pas overlapping kba",0
29909,1163048183.11421,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","SAU",NA,NA,"no pas overlapping kba",0
29910,82080832.7272971,78138993.0410687,1981,FALSE,1,"20910","YEM;SAU","Asir Mountains (nn)","SAU",FALSE,"20910","",0.95197612456827
29912,374434415.244436,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","SAU",NA,NA,"no pas overlapping kba",0
8285,524624114.399779,852490.038882864,1981,FALSE,1,"20910","YEM;SAU","Asir Mountains (nn)","SAU",TRUE,"20910","",0.00162495397272807
29728,76346213.9684096,76346211.2309973,2002,FALSE,1,"20910","YEM;SAU","Asir Mountains (nn)","SAU",FALSE,"20910","",0.999999964144753
29906,3360338.34403312,0,0,FALSE,0,"20910","YEM;SAU","Asir Mountains (nn)","SAU",NA,NA,"no pas overlapping kba",0
