"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","note","percPA"
18570,385932078.425582,197650.117497304,1967,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","GEO",TRUE,"20913","",0.000512137053503356
18570,385932078.425582,116705.796216667,1976,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","GEO",TRUE,"20913","",0.000302399833392369
1490,1074552592.86144,745781602.729724,1976,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",FALSE,"20913","",0.6940391821528
22199,995593161.36988,4112669.22838761,1972,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",TRUE,"20913","",0.00413087332051257
22199,995593161.36988,977008738.267145,1986,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",TRUE,"20913","",0.981333315832378
18593,559105682.263285,1053881.77991349,1967,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",FALSE,"20913","",0.00188494199459273
18593,559105682.263285,1401178.57689746,1976,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",FALSE,"20913","",0.002506106844104
1491,1013345212.58539,298069885.843007,1958,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",TRUE,"20913","",0.294144465421146
1491,1013345212.58539,672979212.152507,1967,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",TRUE,"20913","",0.664116437117718
1491,1013345212.58539,5165713.59094271,1998,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",TRUE,"20913","",0.00509768391539859
1491,1013345212.58539,234055.27607869,2007,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",TRUE,"20913","",0.000230972893710658
18602,191622031.361845,481599.928670913,1975,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",FALSE,"20913","",0.002513280572428
46696,7316284.23618324,14520.5843300753,1986,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","GEO",TRUE,"20913","",0.00198469385022832
18571,939578727.347922,3289949.11857747,1976,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","GEO",TRUE,"20913","",0.00350151511823151
18571,939578727.347922,4787788.34102658,1986,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","GEO",TRUE,"20913","",0.00509567554231534
18584,42622923.2393157,1826.876453934,1967,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","GEO",TRUE,"20913","",4.28613599230773e-05
18584,42622923.2393157,37684741.5603284,2007,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","GEO",TRUE,"20913","",0.884142585639638
22034,227443932.208337,109547268.577165,1972,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",FALSE,"20913","",0.481645157615462
22034,227443932.208337,117467219.81109,1975,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",FALSE,"20913","",0.516466711908104
22035,182952645.89199,0,0,FALSE,0,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",NA,NA,"no pas overlapping kba",0
22023,56201114.1985156,17133503.8594751,1971,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",FALSE,"20913","",0.304860572673979
22021,148316569.275107,132193.427493878,1971,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",FALSE,"20913","",0.000891292376434875
22024,107433839.054737,0,0,FALSE,0,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",NA,NA,"no pas overlapping kba",0
22223,55220969.6950328,1797397.90072032,1964,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",FALSE,"20913","",0.0325491911975967
22223,55220969.6950328,5158510.52903207,1978,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",FALSE,"20913","",0.0934157903695067
22033,133201937.237643,0,0,FALSE,0,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",NA,NA,"no pas overlapping kba",0
22204,18552651.4936681,18552651.4936681,1998,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",TRUE,"20913","",1
12564,129591789.401034,1540598.80436117,1972,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",FALSE,"20913","",0.0118880896041465
12564,129591789.401034,2488112.76498154,1975,FALSE,1,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",FALSE,"20913","",0.0191996173251521
22026,87410850.2547199,0,0,FALSE,0,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",NA,NA,"no pas overlapping kba",0
22022,48350093.1325465,0,0,FALSE,0,"20913","GEO;RUS","Central North Caucasus (nn)","RUS",NA,NA,"no pas overlapping kba",0
