SitRecID,Country,ISO3,NatName,IntName,SitArea,IbaStatus,KbaStatus,AzeStatus,AddedDate,ChangeDate,Source,DelTxt,DelGeom,Shape_Leng,Shape_Area,GMBA_V2_ID,RangeNameM,split,kba_mt
6391,Kenya,KEN,Aberdare Mountains,Aberdare Mountains,185165,confirmed,confirmed,NA,2008-09-06,2018-08-22,"Nature Kenya and Text Site Maps.  Text: Bennun, L and Njoroge, P (1999) Important Bird Areas in Kenya.  Nature Kenya, the East Africa Natural History Society.","Digitized from satellite images, ESRI BaseMaps and IBA text recommendations",Draft polygon,3.00165738709,0.150434840012,12171,Eastern Rift mountains,FALSE,TRUE
6393,Kenya,KEN,Kikuyu Escarpment forest,Kikuyu Escarpment forest,38228,confirmed,confirmed,NA,2008-09-06,2018-08-22,"Nature Kenya and Text Site Maps.  Text: Bennun, L and Njoroge, P (1999) Important Bird Areas in Kenya.  Nature Kenya, the East Africa Natural History Society.","Digitized from satellite images, ESRI BaseMaps and IBA text recommendations",Draft polygon,1.95446041023,0.0310606093484,12171,Eastern Rift mountains,FALSE,TRUE
6394,Kenya,KEN,Kinangop grasslands,Kinangop grasslands,71882,confirmed,confirmed,NA,2009-01-02,NA,IBA directory description.,Digitized from IBA description using Google Earth.,Draft polygon,1.45263323597,0.0584016765814,12171,Eastern Rift mountains,FALSE,TRUE
6396,Kenya,KEN,Mukurweini valleys,Mukurweini valleys,111738,confirmed,confirmed,NA,2011-11-18,NA,Provisional polygon digitized in GE,NA,Draft polygon,1.2645907506,0.090781973376,12171,Eastern Rift mountains,FALSE,TRUE
6398,Kenya,KEN,Dakatcha Woodland,Dakatcha Woodland,35199,confirmed,confirmed,NA,2008-06-09,2008-06-09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918",NA,Draft polygon,1.57043116696,0.0286344688837,12171,Eastern Rift mountains,FALSE,FALSE
6399,Kenya,KEN,Diani Forest,Diani Forest,449,confirmed,confirmed,NA,2008-06-09,2008-06-09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918",NA,Draft polygon,0.200524742327,3.65943662857e-4,12171,Eastern Rift mountains,FALSE,FALSE
6400,Kenya,KEN,Dzombo Hill Forest,Dzombo Hill Forest,573,confirmed,confirmed,NA,2008-06-09,2008-06-09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918",NA,Draft polygon,0.16295164498,4.67013617457e-4,12171,Eastern Rift mountains,FALSE,FALSE
6402,Kenya,KEN,Kaya Gandini,Kaya Gandini,254,confirmed,confirmed,NA,2008-06-09,2008-06-09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918",NA,Draft polygon,0.0629212706467,2.0665693886e-4,12171,Eastern Rift mountains,FALSE,FALSE
6403,Kenya,KEN,Kaya Waa,Kaya Waa,49,confirmed,NA,NA,2008-06-09,2008-06-09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918",NA,Draft polygon,0.0284394493556,4.0200343244e-5,12171,Eastern Rift mountains,FALSE,FALSE
6407,Kenya,KEN,Marenji Forest,Marenji Forest,1512,confirmed,confirmed,NA,2008-06-09,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,0.172750854901,0.00123199414731,12171,Eastern Rift mountains,FALSE,FALSE
6408,Kenya,KEN,Mrima Hill Forest,Mrima Hill Forest,376,confirmed,confirmed,NA,2008-06-09,2008-06-09,"Conservation International, Shapefile: E_Arc_KBA_poly_20070918",NA,Draft polygon,0.072655035988800007,3.06390747922e-4,12171,Eastern Rift mountains,FALSE,FALSE
6414,Kenya,KEN,Tsavo East National Park,Tsavo East National Park,1327472,confirmed,NA,NA,2008-06-09,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,4.48074865926,1.07972117849,12149,Eastern Arc Mountains,TRUE,TRUE
6414,Kenya,KEN,Tsavo East National Park,Tsavo East National Park,1327472,confirmed,NA,NA,2008-06-09,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,4.48074865926,1.07972117849,12171,Eastern Rift mountains,TRUE,TRUE
6415,Kenya,KEN,Tsavo West National Park,Tsavo West National Park,732779,confirmed,NA,NA,2008-06-09,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,4.38638098625,0.596321204638,12149,Eastern Arc Mountains,TRUE,TRUE
6415,Kenya,KEN,Tsavo West National Park,Tsavo West National Park,732779,confirmed,NA,NA,2008-06-09,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,4.38638098625,0.596321204638,12171,Eastern Rift mountains,TRUE,TRUE
6416,Kenya,KEN,Chyulu Hills forests,Chyulu Hills forests,31872,confirmed,confirmed,NA,2011-08-06,NA,NA,NA,Draft polygon,0.869941781952,0.0259200223762,12171,Eastern Rift mountains,FALSE,TRUE
6417,Kenya,KEN,Dida Galgalu desert,Dida Galgalu desert,618709,confirmed,NA,NA,2008-06-09,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,2.88574657632,0.50327431214,12171,Eastern Rift mountains,FALSE,FALSE
6418,Kenya,KEN,Lake Turkana,Lake Turkana,728676,confirmed,confirmed,NA,2008-06-09,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,6.62035417083,0.593107066266,12171,Eastern Rift mountains,FALSE,TRUE
6420,Kenya,KEN,Masinga reservoir,Masinga reservoir,21263,confirmed,NA,NA,2009-02-01,NA,IBA directory description.,Digitized from IBA description using Google Earth.,Draft polygon,1.02759652194,0.0172758699498,12171,Eastern Rift mountains,FALSE,TRUE
6421,Kenya,KEN,Meru National Park,Meru National Park,80412,confirmed,NA,NA,2008-06-09,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,1.26293006131,0.0653274422471,12171,Eastern Rift mountains,FALSE,TRUE
6422,Kenya,KEN,Mwea National Reserve,Mwea National Reserve,8099,confirmed,NA,NA,2008-06-09,2018-08-22,"Nature Kenya and Text Site Maps.  Text: Bennun, L and Njoroge, P (1999) Important Bird Areas in Kenya.  Nature Kenya, the East Africa Natural History Society.","Digitized from satellite images, ESRI BaseMaps and IBA text recommendations",Draft polygon,0.405739684849,0.00657998677194,12171,Eastern Rift mountains,FALSE,TRUE
6423,Kenya,KEN,Samburu and Buffalo Springs National Reserves,Samburu and Buffalo Springs National Reserves,34899,confirmed,NA,NA,2008-06-09,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,0.773347269569,0.0283536204639,12171,Eastern Rift mountains,FALSE,TRUE
6424,Kenya,KEN,Shaba National Reserve,Shaba National Reserve,21759,confirmed,NA,NA,2008-06-09,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,0.601501762178,0.0176784532577,12171,Eastern Rift mountains,FALSE,TRUE
6425,Kenya,KEN,Dandora ponds,Dandora ponds,347,confirmed,NA,NA,2008-06-09,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,0.0770904718326,2.8203710101e-4,12171,Eastern Rift mountains,FALSE,FALSE
6426,Kenya,KEN,Nairobi National Park,Nairobi National Park,11817,confirmed,NA,NA,2008-06-09,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,0.532286042365,0.00960279284824,12171,Eastern Rift mountains,FALSE,FALSE
6428,Kenya,KEN,Koguta swamp,Koguta swamp,1008,confirmed,confirmed,NA,2008-03-25,2018-08-22,"IBA Text Site Maps.  Text: Bennun, L and Njoroge, P (1999) Important Bird Areas in Kenya.  Nature Kenya, the East Africa Natural History Society.",Digitized from satellite images and IBA text recommendations,Draft polygon,0.12394735445,8.18829785387e-4,12171,Eastern Rift mountains,FALSE,FALSE
6430,Kenya,KEN,Ruma National Park,Ruma National Park,9981,confirmed,confirmed,NA,2008-06-09,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,0.444168822146,0.00810899039576,12171,Eastern Rift mountains,FALSE,TRUE
6431,Kenya,KEN,Yala swamp complex,Yala swamp complex,19722,confirmed,confirmed,NA,2009-02-01,NA,IBA directory description.,Digitized from IBA description using Google Earth.,Draft polygon,0.937296737469,0.0160219311218,12171,Eastern Rift mountains,FALSE,FALSE
6432,Kenya,KEN,Amboseli National Park,Amboseli National Park,41356,confirmed,NA,NA,2008-06-09,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,0.855517376139,0.0336327441425,12171,Eastern Rift mountains,FALSE,FALSE
6433,Kenya,KEN,Cherangani Hills,Cherangani Hills,105049,confirmed,confirmed,confirmed,2009-01-02,2018-08-22,"IBA Text Site Maps.  Text: Bennun, L and Njoroge, P (1999) Important Bird Areas in Kenya.  Nature Kenya, the East Africa Natural History Society.",Digitized from satellite images and IBA text recommendations,Draft polygon,3.68664295402,0.0853585539712,12171,Eastern Rift mountains,FALSE,TRUE
6440,Kenya,KEN,Masai Mara,Masai Mara,571297,confirmed,confirmed,NA,2008-09-06,2018-08-22,"Nature Kenya and Text Site Maps.  Text: Bennun, L and Njoroge, P (1999) Important Bird Areas in Kenya.  Nature Kenya, the East Africa Natural History Society.","Digitized from satellite images, ESRI BaseMaps and IBA text recommendations",Draft polygon,3.44553509956,0.464259431941,12171,Eastern Rift mountains,FALSE,TRUE
6441,Kenya,KEN,Mau forest complex,Mau forest complex,270687,confirmed,confirmed,NA,2008-09-06,2018-08-22,"IBA Text Site Maps.  Text: Bennun, L and Njoroge, P (1999) Important Bird Areas in Kenya.  Nature Kenya, the East Africa Natural History Society.",Digitized from satellite images and IBA text recommendations,Draft polygon,6.27769715855,0.219919148369,12171,Eastern Rift mountains,FALSE,TRUE
6442,Kenya,KEN,Mau Narok - Molo grasslands,Mau Narok - Molo grasslands,71571,confirmed,confirmed,NA,2008-09-06,2008-06-09,"BirdLife International SitMapGlobal, 15/02/2008",NA,Draft polygon,2.65825694519,0.0581484493644,12171,Eastern Rift mountains,FALSE,TRUE
